#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:cpacific" name="distribution">
#            <parameter id="ucldStdev.c:cpacific" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:cpacific" name="distribution">
#            <parameter id="ucldMean.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="treeLikelihood.cpacific" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:cpacific">
#            <data ascertained="true" data="@cpacific" excludeto="1" filter="::" id="bin.cpacific" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:cpacific" shape="@gamma_shape_s" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="proportionInvariant.s:cpacific" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:cpacific" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:cpacific" lower="0.0" name="rates">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:cpacific" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:cpacific" lower="0.0" name="frequencies" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cpacific" id="RelaxedClock.c:cpacific" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cpacific">
#                <LogNormal S="@ucldStdev.c:cpacific" id="LogNormalDistributionModel.c:cpacific" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.09" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="38" id="rateCategories.c:cpacific" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	logP(mrca(NewZealand))	mrcatime(NewZealand)	logP(mrca(EastPolynesian))	mrcatime(EastPolynesian)	ucldMean.c:cpacific	ucldStdev.c:cpacific	rate.c:cpacific.mean	rate.c:cpacific.variance	rate.c:cpacific.coefficientOfVariation	
0	-19556.192395497532	-13886.95749340463	-5669.2349020929005	-13886.95749340463	1409.3786067240555	1.0	-5643.49274883816	1.0	0.5	0.5	-11.667289889680685	1408.1	-13.894227510180619	1409.148354291884	1.0	0.1	0.961652910102457	0.009896880842663425	0.10058559233721295	
10000	-11316.859679919853	-11175.54430047054	-141.3153794493134	-11175.54430047054	1257.7034352398107	5.340736418464188	-122.50461839992143	0.003917995140635517	0.5197170154964311	0.4802829845035688	-5.1536486659191425	786.6600278356325	-5.799236363435015	1074.1791944203023	0.13844575670715956	0.9739887169905492	0.06645586799921617	0.004517427281092032	0.5722011114536476	
20000	-11272.549328191748	-11132.120793901986	-140.42853428976247	-11132.120793901986	994.1618337239449	6.438770521503745	-119.60900311231835	0.00471591071121679	0.5228723509331156	0.4771276490668843	-6.1731463406282385	849.28781013444	-5.817259221774581	923.4297051616207	0.11276284756562255	0.9331087981138461	0.1307417840938678	0.010493082300191775	0.8182443021546646	
30000	-11165.102701191641	-11026.177964113218	-138.92473707842376	-11026.177964113218	1394.1834748086244	4.136240289151719	-123.02942726369257	0.004693996700608706	0.5353436128498292	0.46465638715017066	-4.988221769211082	776.5266015863825	-6.052304639563213	897.2190756637741	0.04381757937857827	0.4306128245695704	0.0458376731853253	2.842511800710895E-4	0.37399553027132537	
40000	-10791.966037309332	-10655.507084543015	-136.45895276631813	-10655.507084543015	1060.0952617047474	4.874153960381571	-120.48670436593406	0.00622044132391602	0.586753753194281	0.4132462468057189	-4.697011371811565	756.733520948506	-5.975964584062251	904.9362461429713	0.02901360413143716	0.35333247339766705	0.025117930573322445	7.542362224047419E-5	0.3361997466399571	
50000	-10611.08755513814	-10471.460218499498	-139.62733663864194	-10471.460218499498	1047.6510966407216	7.477806072045778	-121.14234873952437	0.006006551191699363	0.6158986416711014	0.3841013583288986	-4.731947144523049	759.4181947862365	-5.995101857536898	902.9440225082315	0.008817624835235599	0.3170263765275681	0.008041879554362155	7.6248443581159796E-6	0.33664256407108933	
60000	-10372.89254201307	-10232.265940760943	-140.62660125212867	-10232.265940760943	1005.6206781045718	7.477806072045778	-122.17521946788972	0.003303821418558928	0.6551558041765639	0.34484419582343623	-4.793440296918157	763.8332236715129	-5.525001948436441	1004.2266517331732	0.005314950751353953	0.41351879038996353	0.006389048060600982	4.781885496757909E-6	0.3526011754475984	
70000	-9181.00936911336	-9035.846458163065	-145.16291095029638	-9035.846458163065	935.1454627410009	4.511306232691514	-125.7184499167874	0.00339836041592914	0.700531237849761	0.29946876215023915	-4.620022843076404	749.922718546528	-6.20632897896293	883.1907315518014	0.0021695689687817716	1.5046153599226426	4.332320924198691E-4	1.4674067306963267E-5	1.4030693640946923	
80000	-8884.08982982869	-8738.569678421014	-145.5201514076769	-8738.569678421014	1028.7173639750831	1.7070242100954829	-128.21474624954794	0.0029814514968563304	0.7945372901898087	0.20546270981019157	-6.181332898991544	849.8171312880363	-5.530625245546984	988.5837603789865	0.0014650839910089616	1.4294614506992982	3.8822807842523214E-4	8.805545532874404E-6	1.463881754792672	
90000	-8696.66079357961	-8550.480226844662	-146.18056673494723	-8550.480226844662	1183.8437541964795	1.192219407768771	-128.0888805258718	0.0029282936537591607	0.8712937035967598	0.12870629640324044	-7.010205862557877	906.825757287134	-5.570029303343948	1030.3053078358178	0.0011063819441908605	1.577432116849487	3.07651061147599E-4	1.296539013146532E-6	1.1328358388635533	
100000	-8618.125984934777	-8473.809509808021	-144.31647512675636	-8473.809509808021	1107.1856465818157	1.1551441419852058	-128.20051620360653	0.0031021470751534013	0.9029376158423985	0.09706238415760171	-4.980961317373881	776.0732273101597	-5.595119579295587	962.3142307753117	0.0011010924733245565	1.5999547214722987	3.074212378957123E-4	8.607038955141161E-7	1.0567596143665785	
110000	-8601.12751072555	-8454.41793653821	-146.70957418734065	-8454.41793653821	1129.0216719929526	0.8412798080739308	-130.48956237815617	0.0024610491786064546	0.911770107667659	0.08822989233234119	-4.857158877892601	722.5140371869772	-5.5687667871246145	1029.8858053034717	0.0010133404523498266	1.7965268005740935	2.433579433791351E-4	8.86181290120554E-7	1.3370586136711082	
120000	-8582.007700198845	-8435.90998696541	-146.0977132334362	-8435.90998696541	1012.2891609292193	0.8412798080739308	-130.05685123793475	0.0040933457553921715	0.9389173239596851	0.06108267604031508	-4.9383975513320735	721.1128148858612	-5.5242828597326605	998.1337709685203	6.458193427915952E-4	1.721566675657674	1.79804864327404E-4	1.9109288745900092E-7	1.0839376797256426	
130000	-8581.260943902493	-8435.360234278334	-145.90070962415805	-8435.360234278334	1053.4906308361192	1.0330612702163373	-128.92866155709464	0.003625236934876824	0.9389173239596851	0.06108267604031508	-5.423376041961858	802.8624684035595	-5.945767825970193	908.167641130435	7.582792581984313E-4	1.6637710341775196	1.9546109476363974E-4	2.8045280182610694E-7	1.2338992257224726	
140000	-8569.64002184348	-8424.827164663115	-144.8128571803652	-8424.827164663115	945.9759342594068	0.8001148110425417	-127.50552443309196	0.003296911852858119	0.9389173239596851	0.06108267604031508	-6.022024144550474	839.6193890275669	-5.721472669797988	937.1726252967349	8.744257201004006E-4	1.7308621715157861	1.9509105660915353E-4	6.007098869351417E-7	1.3022506182701479	
