#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:cpacific" name="distribution">
#            <parameter id="clockRate.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="treeLikelihood.cpacific" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:cpacific">
#            <data ascertained="true" data="@cpacific" excludeto="1" filter="::" id="bin.cpacific" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:cpacific" shape="@gamma_shape_s" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="proportionInvariant.s:cpacific" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:cpacific" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:cpacific" lower="0.0" name="rates">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:cpacific" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:cpacific" lower="0.0" name="frequencies" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:cpacific" id="StrictClock.c:cpacific" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	clockRate.c:cpacific	logP(mrca(NewZealand))	mrcatime(NewZealand)	logP(mrca(EastPolynesian))	mrcatime(EastPolynesian)	
0	-20791.0934314635	-15483.599073124362	-5307.494358339141	-15483.599073124362	1410.723002872151	1.0	-5283.933681894658	1.0	0.5	0.5	1.0	-8.670692861050464	1046.0210874511106	-13.889983583433175	1409.0446152741877	
10000	-11242.788441429067	-11110.005149798411	-132.78329163065544	-11110.005149798411	832.9296827989972	4.263694940386204	-116.65292277580744	0.005802716205714632	0.5298516813398256	0.4701483186601745	0.058124926407732445	-4.557299959010628	736.8919020765975	-7.309373955451158	811.0415264531175	
20000	-10905.943282177735	-10769.318889959359	-136.62439221837658	-10769.318889959359	899.1301165359891	5.593469342782964	-118.734553518878	0.004957928907429873	0.5753381175692167	0.4246618824307834	0.021370805560224814	-6.108088656748772	845.102026829887	-6.188280699966838	884.7461947895798	
30000	-10751.532858868964	-10614.35608324846	-137.17677562050466	-10614.35608324846	909.9358961061805	5.973698823986514	-118.96408995348621	0.004821037493070719	0.5973628559118522	0.4026371440881479	0.006327504513451343	-4.563633300290817	742.1369481467143	-7.675353542741098	792.5755644313654	
40000	-10065.198864246424	-9918.055534689469	-147.14332955695562	-9918.055534689469	797.5341391145325	6.610587564172873	-127.75965267742747	0.002993387465853793	0.6151326177700545	0.38486738222994554	4.765375850832676E-4	-5.009612598569278	777.8568391708665	-7.763476716786002	788.369756528362	
50000	-9270.313766280033	-9104.748060927128	-165.5657053529057	-9104.748060927128	1897.1314997009438	2.368026543059361	-151.27818570412066	9.585041416462341E-4	0.6784746224815761	0.3215253775184239	1.1450145283030154E-4	-4.589364298493342	746.4227793983937	-7.33012880723234	1190.0536812608257	
60000	-9217.6271610962	-9048.63005419357	-168.99710690262896	-9048.63005419357	2511.9234252399674	1.8133044188143492	-153.21650603305818	8.04384303259798E-4	0.6970454310203856	0.3029545689796143	1.0163089519614192E-4	-4.70403431052551	757.286768303067	-9.263262140230909	1273.464930879195	
70000	-9151.951904433869	-8986.64575152428	-165.3061529095891	-8986.64575152428	2325.5056337345204	1.8133044188143492	-151.69843886191097	8.75367622714905E-4	0.719299149292274	0.28070085070772594	1.136166099727997E-4	-5.0544206516754056	719.4987198807261	-6.739988977188373	1155.9410310338885	
80000	-9035.633799939707	-8869.496626971853	-166.1371729678548	-8869.496626971853	2490.299254636248	1.8109712457268738	-153.21148290615696	6.397410200812209E-4	0.7660571758447763	0.23394282415522366	9.921980639488109E-5	-4.555676273437227	738.7918924755479	-6.559042542533758	1143.8703460300972	
90000	-8877.256630113581	-8708.860663539848	-168.395966573733	-8708.860663539848	3397.5155012343425	1.6177806357311697	-155.6357296505235	0.001122050790364816	0.8268181843299206	0.1731818156700792	9.604910865081258E-5	-4.928175699147932	721.2745922032691	-6.21428058833039	1117.4880308063443	
100000	-8788.066529896667	-8621.19990219074	-166.86662770592648	-8621.19990219074	3336.2486951669725	1.6177806357311697	-154.1673076064873	8.049897226791456E-4	0.867468953378854	0.13253104662114593	7.853307698857228E-5	-4.612694721193568	749.1564931951988	-6.468844742514432	1137.4580680296117	
110000	-8710.785139233602	-8543.103281028954	-167.681858204647	-8543.103281028954	3807.5536506932663	1.0489110190499085	-155.86182989058344	8.316501100687698E-4	0.9137640905841097	0.08623590941589027	5.6758902790844564E-5	-4.559211786737756	736.1965784554939	-6.211905508275897	1117.2857015226607	
120000	-8697.965730565395	-8526.161081978073	-171.80464858732182	-8526.161081978073	3237.1856464233933	1.0453617018776873	-158.03764234598646	4.150516884887957E-4	0.9405831728180826	0.05941682718191735	4.066392855086146E-5	-4.652561627825253	753.0134605214316	-8.06908291163241	1225.6091395506683	
130000	-8698.328616298566	-8526.965539738256	-171.3630765603096	-8526.965539738256	4327.692028108477	1.0453617018776873	-158.26700445623203	5.173539658076127E-4	0.9516264141386259	0.048373585861374024	3.248644288130215E-5	-4.568388586065154	743.1628782352524	-7.482321816134743	1197.8996259188975	
140000	-8693.403949318734	-8522.75268226914	-170.65126704959488	-8522.75268226914	3893.3393717844187	0.9111918986355881	-157.09274870730567	9.552734665426732E-4	0.9524095988398066	0.04759040116019337	3.3267355208988564E-5	-5.66780865940237	714.4505406812583	-6.979517784251234	1170.611199225518	
150000	-8693.628244025955	-8523.048739752803	-170.5795042731523	-8523.048739752803	3742.142899202802	0.7941705931216017	-158.67224524969478	0.0012488271118791159	0.9524095988398066	0.04759040116019337	3.483053902834641E-5	-5.20898331903633	717.8087406681699	-5.904105111299591	1087.1775650161012	
