languagePop	language	family
Aita	Aita	North_Bougainville
Anem-Keraiai	Anem	Anem
Anem-Purailing	Anem	Anem
Ata-Lugei	Pele-Ata	Pele-Ata
Ata-Uasilau	Pele-Ata	Pele-Ata
Baining-Malasait	Baining	Baining
Baining-Marabu	Baining	Baining
Baining-Rangulit	Baining	Baining
EastHigh-Gimi-Goroka	Gimi_Eastern_Highlands	Nuclear_Trans_New_Guinea
Kol	Kol	Kol_Papua_New_Guinea
Kove	Kove	Austronesian
Kuot-Kabil	Kuot	Kuot
Kuot-Lamalaua	Kuot	Kuot
Lavongai-North	Tungag	Austronesian
Lavongai-South	Tungag	Austronesian
Madak	Madak	Austronesian
Mamusi-Kisiluvi	Mamusi	Austronesian
Mamusi-Lingite	Mamusi	Austronesian
Mangseng	Mangseng	Austronesian
Maoris	Maori	Austronesian
Melamela	Meramera	Austronesian
Mengen	Mengen	Austronesian
Micronesians	Palauan	Austronesian
Mussau	Mussau-Emira	Austronesian
Nakanai-Bileki	Nakanai	Austronesian
Nakanai-Loso	Nakanai	Austronesian
Nalik	Nalik	Austronesian
Nasioi	Nasioi	South_Bougainville
Notsi	Notsi	Austronesian
Samoans	Samoan	Austronesian
Saposa	Saposa	Austronesian
Sulka-Ganai	Sulka	Sulka
Sulka-Watwat	Sulka	Sulka
Teop	Teop	Austronesian
Tigak	Tigak	Austronesian
Tolai-Kabakada	Kabakada	Austronesian
Tolai-Vunairoto	Kabakada	Austronesian
