populationID	populationName	location	geographicRegion	dataSet.of.origin	lat	lon	glottocode	notes.chiara	Exclude	heteroz	residuals	samplesize	AverageDist	AverageDistRegion	colorCode
1274	!XunKxoe	SouthAfrica	AFRICA	African	-30	18	oung1238	ok	ok	0.687895134	-0.04329135	6	0.361634356	0.278542494	"#8DD3C7"
836	Ache	Paraguay	AMERICA	NativeAmerican	-24	-56	ache1246	Correct_by_Harald	ok	0.463908488	-0.138035495	17	0.469695389	0.137490535	"#BEBADA"
21	Adygei	Russia-Caucasus	EUROPE	HGDP-CEPH	44	39	adyg1241	automatically_assigned_by_Robert_F	ok	0.706247279	0.00134654	17	0.208404076	0.140964427	"#FDB462"
1035	Aita	Bougainville	OCEANIA	PacificIslander	-5.9	155.083	aita1238	automatically_assigned_by_Robert_F	ok	0.625437779	-0.029655382	25	0.305962472	0.110326585	"#D9D9D9"
1109	Akie	Tanzania	AFRICA	African	-5	37.5	mosi1247	Correct_by_Harald	ok	0.738861612	0.007675129	23	0.195386871	0.114451041	"#8DD3C7"
1043	Ami	Taiwan	EAST_ASIA	PacificIslander	23.3	121	amis1246	Correct_by_Harald	ok	0.657607229	-0.010718567	25	0.262619	0.145610335	"#80B1D3"
1005	Anem-Keraiai	NewBritain	OCEANIA	PacificIslander	-5.45	148.983	anem1249	ok	ok	0.65705793	0.00196477	16	0.275750716	0.145265854	"#D9D9D9"
1006	Anem-Purailing	NewBritain	OCEANIA	PacificIslander	-5.45	148.984	anem1249	ok	ok	0.648850022	-0.006243138	17	0.287840988	0.226589055	"#D9D9D9"
849	Arhuaco	Colombia	AMERICA	NativeAmerican	11	-73.8	arhu1242	automatically_assigned_by_Robert_F	ok	0.601445182	-0.000498801	16	0.335097697	0.110022627	"#BEBADA"
1206	Ashanti	Ghana	AFRICA	African	6	-1	asan1239	ok	ok	0.731757284	0.0005708	15	0.231253483	0.117099563	"#8DD3C7"
901	AshkenaziJ	Israel	EUROPE	Jewish	31.6667	34.5667	hebr1245	ok	ok	0.712077286	0.007176547	19	0.208002249	0.255560549	"#FDB462"
501	Assamese	India	CENTRAL_SOUTH_ASIA	AsianIndian	26	93	assa1263	automatically_assigned_by_Robert_F	ok	0.717226179	0.003373097	25	0.176425723	0.123526316	"#FB8072"
1018	Ata-Lugei	NewBritain	OCEANIA	PacificIslander	-5.6	151	pele1245	ok	ok	0.642350393	-0.012742767	23	0.298310738	0.127233808	"#D9D9D9"
1017	Ata-Uasilau	NewBritain	OCEANIA	PacificIslander	-5.683	151	pele1245	ok	ok	0.635147619	-0.019945541	24	0.300262139	0.1401712	"#D9D9D9"
833	Aymara	Chile	AMERICA	NativeAmerican	-22	-70	sout2996	Correct_by_Harald	ok	0.641096228	0.039152245	18	0.269911997	0.173948252	"#BEBADA"
1129	Bafia	Cameroon	AFRICA	African	4.8	11	bafi1243	automatically_assigned_by_Robert_F	ok	0.748578852	0.017392368	30	0.201968933	0.164611919	"#8DD3C7"
1124	Baggara	Cameroon	AFRICA	African	12.5	14.5	chad1249	ok	ok	0.740456271	0.009269787	23	0.186818305	0.166401308	"#8DD3C7"
1019	Baining-Malasait	NewBritain	OCEANIA	PacificIslander	-4.467	151.9	bain1263	ok	ok	0.605957085	-0.049136075	25	0.342430241	0.12249029	"#D9D9D9"
1020	Baining-Marabu	NewBritain	OCEANIA	PacificIslander	-4.633	152.3	bain1263	ok	ok	0.605829717	-0.049263443	25	0.343722305	0.115803465	"#D9D9D9"
1021	Baining-Rangulit	NewBritain	OCEANIA	PacificIslander	-4.4	151.9	bain1263	ok	ok	0.610563998	-0.044529163	22	0.339720527	0.140515628	"#D9D9D9"
1112	Baka	Cameroon	AFRICA	African	2.5	13.5	baka1272	automatically_assigned_by_Robert_F	ok	0.75238656	0.021200076	48	0.229495773	0.120295159	"#8DD3C7"
1113	Bakola	Cameroon	AFRICA	African	2.8	10	gyel1242	automatically_assigned_by_Robert_F	ok	0.750461654	0.01927517	42	0.228249091	0.132304058	"#8DD3C7"
50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	HGDP-CEPH	30.4987	66.5	east2304	automatically_assigned_by_Robert_F	ok	0.716936994	0.003083913	25	0.191409485	0.129689749	"#FB8072"
1211	Baltimore	USA	AFROEUROPEAN	African	39.2833	-76.617	stan1293	ADMIXED	ADMIXED	0.758264729	0.00939799	44	0.167959709	0.109285824	"#FFFFB3"
1259	Baluba	DemocraticRepublicCongo	AFRICA	African	-9	25	balu1255	automatically_assigned_by_Robert_F	ok	0.678229759	-0.052956725	5	0.31890122	0.144516691	"#8DD3C7"
1127	Bamoun	Cameroon	AFRICA	African	5.5	10.8	bamu1253	Correct_by_Harald	ok	0.746719749	0.015533266	31	0.202197411	0.233450601	"#8DD3C7"
1128	Banen	Cameroon	AFRICA	African	4.8	10.8	tune1241	automatically_assigned_by_Robert_F	ok	0.743790898	0.012604415	25	0.209640685	0.165926357	"#8DD3C7"
1258	Barega	DemocraticRepublicCongo	AFRICA	African	-3.5	28	lega1250	ok	ok	0.664841731	-0.066344752	4	0.348737577	0.15900746	"#8DD3C7"
24	Basque	France	EUROPE	HGDP-CEPH	43	0	basq1248	automatically_assigned_by_Robert_F	ok	0.702099957	-0.002800782	24	0.22147405	0.254209723	"#FDB462"
1185	Bassange	Nigeria	AFRICA	African	9	5.5	nupe1254	ok	ok	0.734807903	0.003621419	20	0.214839068	0.301406622	"#8DD3C7"
