"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA028 Agriculture: intensity,Code: EA028 Agriculture: intensity,Description: EA028 Agriculture: intensity,Comment: EA028 Agriculture: intensity,Subcase: EA028 Agriculture: intensity,References: EA028 Agriculture: intensity,Focal Year: EA112 Trance states,Code: EA112 Trance states,Description: EA112 Trance states,Comment: EA112 Trance states,Subcase: EA112 Trance states,References: EA112 Trance states,Focal Year: EA034 Religion: high gods,Code: EA034 Religion: high gods,Description: EA034 Religion: high gods,Comment: EA034 Religion: high gods,Subcase: EA034 Religion: high gods,References: EA034 Religion: high gods,Focal Year: EA035 Games,Code: EA035 Games,Description: EA035 Games,Comment: EA035 Games,Subcase: EA035 Games,References: EA035 Games
Ethnographic Atlas,Mossi (Ouagadougou),Ag47,xd285,Mossi Ouagadou (Ag47),12.0,-2.0,12.0,-2.0,moss1236,Mossi,mos,Atlantic-Congo,1900,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Mangin(1921); Tauxier(1912); Skinner(1964); Skinner(1958); Marc(1909); Dim Delobosom(1933); ,1900,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),,1900,2,A high god present but otiose or not concerned with human affairs,,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Mangin(1921); Tauxier(1912); Skinner(1964); Skinner(1958); Marc(1909); Dim Delobosom(1933); ,1900,8,Games of all three types present,,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Mangin(1921); Tauxier(1912); Skinner(1964); Skinner(1958); Marc(1909); Dim Delobosom(1933); 
Ethnographic Atlas,Inughuit (Northern Greenland),Na14,xd1031,Polar Eskimo (Na14),78.0,-70.0,78.0,-70.0,pola1254,Polar Eskimo,,Eskimo-Aleut,1880,1,Complete absence of agriculture,,,Oswalt(1963); Steensby(1910); Kroeber(1899); Ekblaw(1927-28); Birket-Smith(1928); Rasmussen(1908); ,1880,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1880,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Oswalt(1963); Steensby(1910); Kroeber(1899); Ekblaw(1927-28); Birket-Smith(1928); Rasmussen(1908); ,1880,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Oswalt(1963); Steensby(1910); Kroeber(1899); Ekblaw(1927-28); Birket-Smith(1928); Rasmussen(1908); 
Ethnographic Atlas,Wichí,Sh1,xd1388,Mataco (Sh1),-24.0,-63.0,-24.0,-63.0,wich1263,Wichí Lhamtés Vejoz,wlv,Matacoan,1860,2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices",,,Karsten(1932); Pelleschi(1896); ,1860,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,,,1860,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Karsten(1932); Pelleschi(1896); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Karsten(1932); Pelleschi(1896); 
Ethnographic Atlas,Nootka,Nb11,xd1070,Nootka (Nb11),49.16,-125.85,49.0,-126.0,nuuc1236,Nuu-chah-nulth,nuk,Wakashan,1880,1,Complete absence of agriculture,,with special reference to the Central Nootka,Koppert(1930); Drucker(1951); ,1880,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the Central Nootka,,1880,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the Central Nootka,Koppert(1930); Drucker(1951); ,1880,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Central Nootka,Koppert(1930); Drucker(1951); 
Ethnographic Atlas,Klallam,Nb16,xd1075,Klallam (Nb16),48.0,-123.0,48.0,-123.0,clal1241,Clallam,clm,Salishan,1860,1,Complete absence of agriculture,,,Eells(1887); Gunthere(1927); ,1860,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1860,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Eells(1887); Gunthere(1927); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Eells(1887); Gunthere(1927); 
Ethnographic Atlas,Mota,Ih1,xd862,Mota (Ih1),-13.84,167.7,-14.0,168.0,mota1237,Mota,mtt,Austronesian,1890,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",,,Codrington(1891); Rivers(1914a); ,1890,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1890,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Codrington(1891); Rivers(1914a); ,1890,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Codrington(1891); Rivers(1914a); 
Ethnographic Atlas,Isleta,Nh10,xd1260,Isleta (Nh10),35.0,-107.0,35.0,-107.0,sout2961,Southern Tiwa,tix,Kiowa-Tanoan,1920,6,Intensive cultivation where it is largely dependent upon irrigation,,,Trager(1943); Parsons(1932a); ,1920,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1920,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Trager(1943); Parsons(1932a); ,1920,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Trager(1943); Parsons(1932a); 
Ethnographic Atlas,Gbaya,Ai7,xd381,Baya (Ai7),6.0,16.0,6.0,16.0,nort2775,Northwest Gbaya,gya,Atlantic-Congo,1910,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Clozel(1896); Poupon(1915); Tessmann(1934-37); Hartmann(1927); ,1910,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1910,2,A high god present but otiose or not concerned with human affairs,,,Clozel(1896); Poupon(1915); Tessmann(1934-37); Hartmann(1927); ,1910,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Clozel(1896); Poupon(1915); Tessmann(1934-37); Hartmann(1927); 
Ethnographic Atlas,Venda,Ab6,xd29,Venda (Ab6),-23.0,30.0,-23.0,30.0,vend1245,Venda,ven,Atlantic-Congo,1900,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",,,Warmelo(1948); Stayt(1931); Gottschling(1905); Wessmann(1908); ,1900,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1900,3,A high god present and active in human affairs but not offering positive support to human morality,,,Warmelo(1948); Stayt(1931); Gottschling(1905); Wessmann(1908); ,1900,8,Games of all three types present,,,Warmelo(1948); Stayt(1931); Gottschling(1905); Wessmann(1908); 
Ethnographic Atlas,Sierra Popoluca,Nj3,xd1302,Popoluca (Nj3),18.0,-95.0,18.0,-95.0,high1276,Highland Popoluca,poi,Mixe-Zoque,1940,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,Town and environs of Soteapan,Foster(1945); Foster(1943); Foster(1942); Foster(1940); ,1940,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,Town and environs of Soteapan,,1940,4,"A high god present, active, and specifically supportive of human morality",,Town and environs of Soteapan,Foster(1945); Foster(1943); Foster(1942); Foster(1940); ,1940,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,Town and environs of Soteapan,Foster(1945); Foster(1943); Foster(1942); Foster(1940); 
Ethnographic Atlas,Mbundu,Ab5,xd28,Mbundu (Ab5),-12.0,16.0,-12.0,16.0,umbu1257,Umbundu,umb,Atlantic-Congo,1930,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); ,1930,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1930,2,A high god present but otiose or not concerned with human affairs,,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); ,1930,6,"Games of physical skill and of strategy present, but not games of chance",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); 
Ethnographic Atlas,Asháninka,Sf7,xd1380,Campa (Sf7),-8.0,-75.0,-8.0,-75.0,asha1243,Asháninka,cni,Arawakan,1900,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Caldwell and Calhoun(1932); Nordenskiold(1924); Steward and Metraux(1948b); Craig(1967); ,1900,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,1900,2,A high god present but otiose or not concerned with human affairs,,,Caldwell and Calhoun(1932); Nordenskiold(1924); Steward and Metraux(1948b); Craig(1967); ,1900,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Caldwell and Calhoun(1932); Nordenskiold(1924); Steward and Metraux(1948b); Craig(1967); 
Ethnographic Atlas,Bhil,Ef5,xd667,Bhil (Ef5),22.0,74.0,22.0,74.0,bhil1251,Bhili,bhb,Indo-European,1900,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,,,1900,3,A high god present and active in human affairs but not offering positive support to human morality,,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); 
Ethnographic Atlas,American Samoans,Ii1,xd876,Samoans (Ii1),-13.68,-172.41,-14.0,-170.0,samo1305,Samoan,smo,Austronesian,1920,4,"Horticulture, i.e., semi-intensive agriculture limited mainly to vegetable gardens or groves of fruit trees rather than the cultivation of field crops",,with special reference to American Samoa,Grattan(1948); Mead(1937c); Mead(1950b); Mead(1930c); Buck(1930); Stair(1897); Murdock(1934l); Kramer(1901-02); Turner(1884); Kramer(1906); Cook(1942); Freeman(1965); Mead(1928); Ember(1959); ,1920,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,with special reference to American Samoa,,1920,2,A high god present but otiose or not concerned with human affairs,,with special reference to American Samoa,Grattan(1948); Mead(1937c); Mead(1950b); Mead(1930c); Buck(1930); Stair(1897); Murdock(1934l); Kramer(1901-02); Turner(1884); Kramer(1906); Cook(1942); Freeman(1965); Mead(1928); Ember(1959); ,1920,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to American Samoa,Grattan(1948); Mead(1937c); Mead(1950b); Mead(1930c); Buck(1930); Stair(1897); Murdock(1934l); Kramer(1901-02); Turner(1884); Kramer(1906); Cook(1942); Freeman(1965); Mead(1928); Ember(1959); 
