"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"140","abode",5,27,12.06,5.28,2.9,5.05,0.162036460616755,3.92,2,8.318,4
"241","abscess",6,14,13.11,2.79,4,3.95,0.765294581377749,4.48,1,7.976,2
"247","absence",7,721,7.7,3.86,4.3,4.24,-0.431332975162543,2.31,4,8.355,1
"295","abstract",9,17,11.47,5.25,3.96,5.53,-0.576152994598212,1.45,2,5.74,1
"316","abuse",6,253,8.61,1.53,6.21,2.9,-0.538572911496916,2.71,3,4.97,1
"332","abyss",5,66,11,3.9,4.85,4,0.084256943863085,3.07,1,12.099,5
"362","accent",7,458,8.6,6.48,4.95,5.36,-0.558434946733843,3.26,5,7.805,4
"385","access",6,762,9.1,6.68,5.3,6.89,-0.347693630540247,2.71,6,5.91,5
"398","acclaim",6,35,12.11,6.1,3.95,5.77,0.137958649756881,2.04,1,5.768,4
"444","accord",5,104,9.65,6.38,2.85,5.64,-0.408858278920245,1.57,4,8.855,8
"462","account",6,1890,8.26,5.39,3.76,5.06,-0.680025934808725,3.08,10,4.502,3
"530","ace",3,67,8.83,6.37,4.64,6.61,-0.804727131149645,3.92,6,8.346,33
"540","ache",3,50,5.79,3.27,4.3,4,-0.689843148365101,3.43,1,8.636,36
"559","acid",5,277,9.6,3.26,4.77,4.26,-0.769916889519507,4.25,2,2.686,7
"585","acne",5,13,11.4,2.18,4.47,3.44,0.0217060042362247,4.89,1,7.369,3
"590","acorn",5,10,5.95,5.85,4.42,4.77,-0.0291103021125466,4.96,1,7.661,3
"632","acre",5,266,9.8,5.53,2.73,4.94,-0.125708538793765,4.18,3,6.442,17
"658","act",4,2278,6.42,5.64,4.19,6.11,-0.550305580911765,2.46,5,5.604,26
"675","action",5,3228,6.67,6,6.19,6.17,-0.632735716367751,2.86,10,6.005,8
"686","active",6,0,6.53,6.47,5.62,6.32,-0.640950587803649,3.32,3,8.269,4
"695","actor",6,785,7.17,6.15,4.35,5.64,-0.608576285660268,4.57,2,8.232,8
"698","actress",7,254,6.17,5.42,5.43,4.65,-0.468186823191995,4.54,1,7.738,0
"726","ad",3,107,8.22,4.11,3.33,5.18,-0.114056656776072,4.46,1,5.576,36
"728","adage",5,14,16.21,5.55,3.38,5.13,0.82289091216382,1.86,1,9.935,4
"762","addict",6,25,11.17,2.86,5.33,2.74,-0.547337725727776,3.14,2,5.587,3
"792","address",6,733,5.15,6.11,3.05,4.89,-0.718509686444822,3.89,8,4.643,3
"816","adept",6,9,12.5,6.14,4.17,6.5,0.127720401739534,2.23,1,10.564,2
"1011","adult",6,906,4.68,5.9,4.36,6.46,-0.825502440944219,4.4,2,7.061,4
"1039","advance",7,753,8.35,6.11,4.62,6.12,-0.412085525013122,2.57,6,4.964,1
"1105","advice",6,1311,8.61,5.78,3.05,5.83,-0.61992617444646,2.73,1,5.8,3
"1136","aerial",5,14,11.5,6.04,3.67,5.17,-0.387896057615385,3.04,2,8.942,4
"1172","affair",5,699,10.94,3.1,5.4,5.89,-0.469171716696514,2.45,3,7.581,6
"1250","affront",7,43,12.44,4.53,4.5,5.04,0.717249798145822,1.83,1,11.981,2
"1343","age",3,4437,4.38,5.78,3.71,4.67,-0.895547698990658,2.86,5,6.077,23
"1360","agent",6,766,9.55,5.23,3.43,5.65,-0.37492847588299,3.61,6,6.02,2
"1494","aid",3,975,7.33,6.29,4.55,5.95,-0.615484888431039,3.1,4,5.823,35
"1496","aide",3,100,7.83,5.6,4,7.05,0.37571677158406,3.59,2,7.918,35
"1504","aids",4,106,8.89,3.52,3.75,4.88,-0.739394307788401,3.44,4,6.564,12
"1513","ailment",7,26,10.37,3,3.68,3.14,0.438857621915893,2.93,1,12.233,1
"1516","aim",3,615,6.72,5.95,4,6.5,-0.726350075397688,3.27,4,7.065,32
"1534","air",3,4496,3.94,6.71,3.25,5.72,-0.876385656205479,4.11,9,6.915,43
"1557","aircraft",7,400,7.61,6.3,4.86,5.71,-0.155538331048546,4.4,1,8.739,2
"1579","airfield",6,84,8.6,5.74,4.38,4.82,0.100516679360141,4.7,1,8.876,2
"1611","airline",5,184,8.74,5.36,4.12,4.92,-0.524342375470104,4,2,7.07,3
"1623","airplane",6,73,3.94,5.25,5.62,4.12,-0.148616812108355,4.96,1,9.331,1
"1627","airport",5,932,6.84,6,5.5,5.79,-0.730549171613372,4.87,1,4.476,1
"1642","airship",5,1,10.8,5.63,4.88,4.43,0.10330089028634,4.92,1,12.088,1
"1646","airspace",6,19,11.5,5.5,4.4,4.91,0.141834956878892,3.58,2,10.451,1
"1647","airspeed",6,1,10.9,4.95,4.33,5.24,0.933126447425819,3.04,1,12.212,0
"1648","airstrip",7,29,8.16,4.76,3.83,5.1,0.100239782539274,4.68,1,13.1,1
